tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-1462,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-2404,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-341,LOB-5
TAG-4311,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-2614,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-207,LOB-5
TAG-4178,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-339,LOB-3
TAG-2514,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-326,LOB-2
TAG-3097,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-504,LOB-5
TAG-3841,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-524,LOB-5
TAG-185,Ld Pickup 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-504,LOB-5
TAG-3844,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-399,LOB-5
TAG-129,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-211,LOB-5
TAG-2312,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-211,LOB-5
TAG-1340,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-211,LOB-5
TAG-3825,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-31,LOB-5
TAG-61,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-594,LOB-5
TAG-2078,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-301,LOB-5
TAG-4430,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-207,LOB-5
TAG-4508,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1129,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-3690,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-222,LOB-5
